City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,salalah,17.0151,54.0924,28.05,54,0,1.03,OM,2023-03-30 18:30:45
206,lebanon,36.2081,-86.2911,21.21,27,0,0.0,US,2023-03-30 18:28:49
207,ginda,30.6945,78.4932,11.96,61,99,2.3,IN,2023-03-30 18:30:46
208,kpandae,8.4689,-0.0113,29.77,51,100,3.66,GH,2023-03-30 18:30:46
209,guerrero negro,27.9769,-114.0611,15.03,60,26,7.08,MX,2023-03-30 18:30:46
210,guymon,36.6828,-101.4816,20.0,42,0,10.8,US,2023-03-30 18:29:30
211,baherden,38.4362,57.4316,24.61,28,9,1.65,TM,2023-03-30 18:27:56
212,anloga,5.7947,0.8973,28.79,72,100,3.42,GH,2023-03-30 18:30:47
213,te anau,-45.4167,167.7167,7.32,81,80,0.93,NZ,2023-03-30 18:30:47
214,constitucion,-35.3333,-72.4167,19.98,41,1,8.1,CL,2023-03-30 18:30:47
215,cidreira,-30.1811,-50.2056,26.61,66,100,3.8,BR,2023-03-30 18:30:48
216,okahandja,-21.9833,16.9167,19.72,18,0,4.18,NA,2023-03-30 18:30:48
217,sao joao da barra,-21.6403,-41.0511,31.05,50,100,4.38,BR,2023-03-30 18:30:49
218,bajil,15.0584,43.2851,30.24,54,91,2.3,YE,2023-03-30 18:30:49
219,kavieng,-2.5744,150.7967,25.46,85,100,4.31,PG,2023-03-30 18:30:49
220,sept-iles,50.2001,-66.3821,0.29,91,100,8.75,CA,2023-03-30 18:30:21
221,marale,14.8833,-87.15,29.45,30,33,2.37,HN,2023-03-30 18:30:51
222,alamosa,37.4695,-105.87,11.99,16,0,14.92,US,2023-03-30 18:30:52
223,ayna,-12.65,-73.9167,15.56,93,100,1.1,PE,2023-03-30 18:30:52
224,bull savanna,17.8868,-77.5902,27.99,58,0,6.74,JM,2023-03-30 18:30:52
225,leningradskiy,69.3833,178.4167,-26.81,99,7,2.05,RU,2023-03-30 18:30:53
226,kihei,20.785,-156.4656,25.47,81,20,3.6,US,2023-03-30 18:30:53
227,vila velha,-20.3297,-40.2925,32.19,63,0,7.2,BR,2023-03-30 18:27:00
228,hirara,24.8,125.2833,21.15,83,75,6.69,JP,2023-03-30 18:30:53
229,yangjiang,21.85,111.9667,19.71,95,100,2.76,CN,2023-03-30 18:30:53
230,praia,14.9215,-23.5087,28.3,44,0,5.66,CV,2023-03-30 18:30:53
231,san juan,-31.5375,-68.5364,25.45,28,0,3.53,AR,2023-03-30 18:28:15
232,lorengau,-2.0226,147.2712,25.82,81,100,0.3,PG,2023-03-30 18:30:54
233,mayo,38.8876,-76.5119,11.95,35,0,4.47,US,2023-03-30 18:30:28
234,bacolod,10.6667,122.95,25.89,84,100,3.34,PH,2023-03-30 18:30:54
235,chapleau,47.8405,-83.4034,-0.95,59,75,6.17,CA,2023-03-30 18:30:55
236,bilma,18.6853,12.9164,27.65,8,11,4.9,NE,2023-03-30 18:30:56
237,pacific grove,36.6177,-121.9166,12.67,73,0,2.68,US,2023-03-30 18:30:56
238,fortuna,40.5982,-124.1573,12.18,70,9,0.89,US,2023-03-30 18:30:56
239,bandarbeyla,9.4942,50.8122,27.17,73,2,3.76,SO,2023-03-30 18:30:56
240,raudeberg,61.9875,5.1352,2.75,74,100,2.17,NO,2023-03-30 18:30:56
241,yar-sale,66.8333,70.8333,-22.03,100,99,1.61,RU,2023-03-30 18:30:57
242,cam ranh,11.9214,109.1591,25.98,83,20,2.06,VN,2023-03-30 18:30:57
243,iguatu,-6.3594,-39.2986,28.07,78,93,2.36,BR,2023-03-30 18:30:57
244,lom,43.8139,23.2361,9.6,64,81,2.83,BG,2023-03-30 18:30:57
245,marsh harbour,26.5412,-77.0636,22.9,70,0,7.98,BS,2023-03-30 18:30:58
246,saint-pierre,-21.3393,55.4781,26.82,83,40,1.03,RE,2023-03-30 18:30:58
247,san policarpo,12.1791,125.5072,26.21,83,92,2.43,PH,2023-03-30 18:30:58
248,nexo,55.0607,15.1306,7.05,97,100,7.37,DK,2023-03-30 18:30:58
249,antofagasta,-23.65,-70.4,22.6,70,48,3.6,CL,2023-03-30 18:28:31
